province,h1_cons_p1,h1_cons_p2,h1_cons_p3,h1_cons_p4,h1_cons_p5,h1_cons_p6,h1_cons_p7,h1_cons_p8,h1_cons_p9,h1_cons_p10,h1_cons_p11,h1_cons_p12,h1_count_p1,h1_count_p2,h1_count_p3,h1_count_p4,h1_count_p5,h1_count_p6,h1_count_p7,h1_count_p8,h1_count_p9,h1_count_p10,h1_count_p11,h1_count_p12,h2_cons_p1,h2_cons_p2,h2_cons_p3,h2_cons_p4,h2_count_p1,h2_count_p2,h2_count_p3,h2_count_p4,h1_over_pattern,h1_tail_cons,h1_top10,h1_bottom50,h1_gini,h2_gini,h1_median_tier,temp,climate_expected,climate_residual
آذربایجان شرقی,23.48,23.68,15.48,11.29,7.79,5.29,3.7,2.5,1.7,1.2,0.9,3.0,45.05,23.72,10.91,6.91,4.6,3.1,2.0,1.2,0.8,0.5,0.4,0.8,45.2,26.8,23.1,4.9,62.1,21.7,12.8,3.4,37.36,12.99,20.3,28.42,0.2827,0.1848,2.21,12.6,37.12,0.24
آذربایجان غربی,17.32,22.02,17.22,13.21,9.11,6.21,4.3,3.0,2.1,1.5,1.0,3.0,36.83,24.55,13.27,8.38,5.59,3.79,2.5,1.7,1.1,0.7,0.5,1.1,41.4,26.6,26.0,6.0,55.0,23.5,16.6,4.9,43.44,14.91,18.87,29.13,0.2792,0.1512,2.54,11.6,38.76,4.68
اردبیل,17.82,20.92,17.72,14.31,9.71,6.51,4.2,2.7,1.8,1.2,0.8,2.3,36.63,24.45,14.27,8.78,5.69,3.69,2.3,1.5,0.9,0.6,0.4,0.8,46.7,27.0,22.3,4.0,59.76,20.12,14.61,5.51,43.54,13.01,19.2,29.26,0.2803,0.1228,2.55,9.5,42.2,1.34
اصفهان,26.7,26.4,15.0,10.5,6.9,4.6,3.0,2.0,1.3,0.9,0.7,2.0,48.1,25.15,10.68,6.09,3.69,2.3,1.4,0.9,0.6,0.4,0.2,0.5,46.9,25.8,22.5,4.8,63.64,21.68,11.89,2.8,31.9,9.9,21.43,28.69,0.2758,0.1881,2.08,16.5,30.73,1.17
البرز,32.0,29.4,15.1,8.0,4.7,2.9,1.9,1.3,1.0,0.7,0.5,2.5,54.6,25.5,9.6,4.6,2.4,1.3,0.7,0.4,0.3,0.2,0.1,0.3,52.2,24.0,19.4,4.4,67.9,19.7,10.3,2.1,23.5,7.9,22.98,29.3,0.2773,0.1746,1.92,15.6,32.21,-8.71
ایلام,32.27,28.87,14.89,9.49,5.49,3.4,2.2,1.6,0.7,0.4,0.2,0.5,62.84,23.18,7.49,3.1,1.5,0.8,0.5,0.3,0.1,0.1,0.0,0.1,41.06,28.17,27.07,3.7,70.63,18.38,9.49,1.5,23.98,5.6,30.94,25.68,0.3654,0.3208,1.8,17.4,29.26,-5.28
بوشهر,51.25,24.78,10.59,5.19,2.9,1.8,1.0,0.7,0.4,0.7,0.1,0.6,80.8,12.9,4.0,1.2,0.5,0.3,0.1,0.1,0.0,0.1,0.0,0.0,47.65,26.53,22.12,3.7,80.08,12.41,6.71,0.8,13.39,3.5,31.08,31.71,0.3143,0.3372,1.62,25.2,16.48,-3.09
تهران,28.17,28.87,15.68,8.29,5.0,3.2,2.2,1.7,1.2,1.0,0.7,4.0,57.0,25.9,8.9,3.8,1.9,1.0,0.5,0.3,0.2,0.1,0.1,0.3,56.3,22.7,17.0,4.0,65.3,20.9,10.8,3.0,27.27,10.79,30.44,24.71,0.3675,0.1018,1.88,17.2,29.58,-2.31
چهارمحال و بختیاری,21.0,24.5,16.3,12.4,8.5,5.7,3.7,2.4,1.6,1.2,0.7,2.0,45.05,24.48,11.49,6.79,4.5,2.8,1.8,1.1,0.7,0.4,0.3,0.6,39.4,27.3,27.6,5.7,60.76,21.62,14.31,3.3,38.2,11.6,21.66,25.95,0.3168,0.2366,2.2,12.0,38.1,0.1
خراسان جنوبی,43.6,27.0,11.9,7.5,4.1,2.2,1.3,0.8,0.5,0.3,0.2,0.6,69.5,18.7,6.2,2.8,1.4,0.6,0.3,0.2,0.1,0.1,0.0,0.1,44.36,28.07,23.28,4.3,71.5,17.4,9.5,1.6,17.5,3.7,25.95,31.37,0.2873,0.2886,1.72,17.0,29.91,-12.41
خراسان رضوی,38.92,28.44,13.27,7.39,4.09,2.4,1.6,1.0,0.7,0.5,0.4,1.3,59.94,23.88,8.59,3.8,1.8,0.9,0.5,0.2,0.1,0.1,0.1,0.1,50.65,25.53,19.82,4.0,68.07,19.72,10.21,2.0,19.36,5.49,23.08,32.47,0.2513,0.1901,1.83,14.7,33.68,-14.32
